"","PassengerId","Survived","Pclass","Name","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked"
"28","28","0","1","Fortune,_Mr._Charles_Alexander","male",19,3,2,"19950",263,"C23_C25_C27","Southampton"
"29","29","1","3","O'Dwyer,_Miss._Ellen_""Nellie""","female",28.8751989195406,0,0,"330959",7.8792,"","Queenstown"
"30","30","0","3","Todoroff,_Mr._Lalio","male",31.7387244349423,0,0,"349216",7.8958,"","Southampton"
"31","31","0","1","Uruchurtu,_Don._Manuel_E","male",40,0,0,"PC_17601",27.7208,"","Cherbourg"
"32","32","1","1","Spencer,_Mrs._William_Augustus_(Marie_Eugenie)","female",34.3808306673804,1,0,"PC_17569",146.5208,"B78","Cherbourg"
"33","33","1","3","Glynn,_Miss._Mary_Agatha","female",28.8665496364253,0,0,"335677",7.75,"","Queenstown"
"34","34","0","2","Wheadon,_Mr._Edward_H","male",66,0,0,"C.A._24579",10.5,"","Southampton"
"35","35","0","1","Meyer,_Mr._Edgar_Joseph","male",28,1,0,"PC_17604",82.1708,"","Cherbourg"
"36","36","0","1","Holverson,_Mr._Alexander_Oskar","male",42,1,0,"113789",52,"","Southampton"
"37","37","1","3","Mamee,_Mr._Hanna","male",28.6458883920108,0,0,"2677",7.2292,"","Cherbourg"
"38","38","0","3","Cann,_Mr._Ernest_Charles","male",21,0,0,"A./5._2152",8.05,"","Southampton"
"39","39","0","3","Vander_Planke,_Miss._Augusta_Maria","female",18,2,0,"345764",18,"","Southampton"
"40","40","1","3","Nicola-Yarred,_Miss._Jamila","female",14,1,0,"2651",11.2417,"","Cherbourg"
"41","41","0","3","Ahlin,_Mrs._Johan_(Johanna_Persdotter_Larsson)","female",40,1,0,"7546",9.475,"","Southampton"
"42","42","0","2","Turpin,_Mrs._William_John_Robert_(Dorothy_Ann_Wonnacott)","female",27,1,0,"11668",21,"","Southampton"
"43","43","0","3","Kraeff,_Mr._Theodor","male",31.7387244349423,0,0,"349253",7.8958,"","Cherbourg"
"44","44","1","2","Laroche,_Miss._Simonne_Marie_Anne_Andree","female",3,1,2,"SC/Paris_2123",41.5792,"","Cherbourg"
"45","45","1","3","Devaney,_Miss._Margaret_Delia","female",19,0,0,"330958",7.8792,"","Queenstown"
"46","46","0","3","Rogers,_Mr._William_John","male",31.7490473409514,0,0,"S.C./A.4._23567",8.05,"","Southampton"
"47","47","0","3","Lennon,_Mr._Denis","male",28.4720684792942,1,0,"370371",15.5,"","Queenstown"
"48","48","1","3","O'Driscoll,_Miss._Bridget","female",28.8665496364253,0,0,"14311",7.75,"","Queenstown"
"49","49","0","3","Samaan,_Mr._Youssef","male",25.1100160186981,2,0,"2662",21.6792,"","Cherbourg"
"50","50","0","3","Arnold-Franchi,_Mrs._Josef_(Josefine_Franchi)","female",18,1,0,"349237",17.8,"","Southampton"
"51","51","0","3","Panula,_Master._Juha_Niilo","male",7,4,1,"3101295",39.6875,"","Southampton"
"52","52","0","3","Nosworthy,_Mr._Richard_Cater","male",21,0,0,"A/4._39886",7.8,"","Southampton"
"53","53","1","1","Harper,_Mrs._Henry_Sleeper_(Myna_Haxtun)","female",49,1,0,"PC_17572",76.7292,"D33","Cherbourg"
"54","54","1","2","Faunthorpe,_Mrs._Lizzie_(Elizabeth_Anne_Wilkinson)","female",29,1,0,"2926",26,"","Southampton"
"55","55","0","1","Ostby,_Mr._Engelhart_Cornelius","male",65,0,1,"113509",61.9792,"B30","Cherbourg"
"56","56","1","1","Woolner,_Mr._Hugh","male",30.5384747162798,0,0,"19947",35.5,"C52","Southampton"
"57","57","1","2","Rugg,_Miss._Emily","female",21,0,0,"C.A._31026",10.5,"","Southampton"
"58","58","0","3","Novel,_Mr._Mansouer","male",28.5,0,0,"2697",7.2292,"","Cherbourg"
"59","59","1","2","West,_Miss._Constance_Mirium","female",5,1,2,"C.A._34651",27.75,"","Southampton"
"60","60","0","3","Goodwin,_Master._William_Frederick","male",11,5,2,"CA_2144",46.9,"","Southampton"
"61","61","0","3","Sirayanian,_Mr._Orsen","male",22,0,0,"2669",7.2292,"","Cherbourg"
"62","62","1","1","Icard,_Miss._Amelie","female",38,0,0,"113572",80,"B28","Southampton"
"63","63","0","1","Harris,_Mr._Henry_Birkhardt","male",45,1,0,"36973",83.475,"C83","Southampton"
"64","64","0","3","Skoog,_Master._Harald","male",4,3,2,"347088",27.9,"","Southampton"
"65","65","0","1","Stewart,_Mr._Albert_A","male",33.0659073897448,0,0,"PC_17605",27.7208,"","Cherbourg"
"66","66","1","3","Moubarek,_Master._Gerios","male",23.5867302860822,1,1,"2661",15.2458,"","Cherbourg"
"67","67","1","2","Nye,_Mrs._(Elizabeth_Ramell)","female",29,0,0,"C.A._29395",10.5,"F33","Southampton"
"68","68","0","3","Crease,_Mr._Ernest_James","male",19,0,0,"S.P._3464",8.1583,"","Southampton"
"69","69","1","3","Andersson,_Miss._Erna_Alexandra","female",17,4,2,"3101281",7.925,"","Southampton"
"70","70","0","3","Kink,_Mr._Vincenz","male",26,2,0,"315151",8.6625,"","Southampton"
"71","71","0","2","Jenkin,_Mr._Stephen_Curnow","male",32,0,0,"C.A._33111",10.5,"","Southampton"
"72","72","0","3","Goodwin,_Miss._Lillian_Amy","female",16,5,2,"CA_2144",46.9,"","Southampton"
"73","73","0","2","Hood,_Mr._Ambrose_Jr","male",21,0,0,"S.O.C._14879",73.5,"","Southampton"
"74","74","0","3","Chronopoulos,_Mr._Apostolos","male",26,1,0,"2680",14.4542,"","Cherbourg"
"75","75","1","3","Bing,_Mr._Lee","male",32,0,0,"1601",56.4958,"","Southampton"
"76","76","0","3","Moen,_Mr._Sigurd_Hansen","male",25,0,0,"348123",7.65,"F_G73","Southampton"
"77","77","0","3","Staneff,_Mr._Ivan","male",31.7387244349423,0,0,"349208",7.8958,"","Southampton"
"78","78","0","3","Moutal,_Mr._Rahamin_Haim","male",31.7490473409514,0,0,"374746",8.05,"","Southampton"
"79","79","1","2","Caldwell,_Master._Alden_Gates","male",0.83,0,2,"248738",29,"","Southampton"
"80","80","1","3","Dowdell,_Miss._Elizabeth","female",30,0,0,"364516",12.475,"","Southampton"
"81","81","0","3","Waelens,_Mr._Achille","male",22,0,0,"345767",9,"","Southampton"
"82","82","1","3","Sheerlinck,_Mr._Jan_Baptist","male",29,0,0,"345779",9.5,"","Southampton"
"83","83","1","3","McDermott,_Miss._Brigdet_Delia","female",28.8690600707661,0,0,"330932",7.7875,"","Queenstown"
"84","84","0","1","Carrau,_Mr._Francisco_M","male",28,0,0,"113059",47.1,"","Southampton"
"85","85","1","2","Ilett,_Miss._Bertha","female",17,0,0,"SO/C_14885",10.5,"","Southampton"
"86","86","1","3","Backstrom,_Mrs._Karl_Alfred_(Maria_Mathilda_Gustafsson)","female",33,3,0,"3101278",15.85,"","Southampton"
"87","87","0","3","Ford,_Mr._William_Neal","male",16,1,3,"W./C._6608",34.375,"","Southampton"
"88","88","0","3","Slocovski,_Mr._Selman_Francis","male",31.7490473409514,0,0,"SOTON/OQ_392086",8.05,"","Southampton"
"89","89","1","1","Fortune,_Miss._Mabel_Helen","female",23,3,2,"19950",263,"C23_C25_C27","Southampton"
"90","90","0","3","Celotti,_Mr._Francesco","male",24,0,0,"343275",8.05,"","Southampton"
"91","91","0","3","Christmann,_Mr._Emil","male",29,0,0,"343276",8.05,"","Southampton"
"92","92","0","3","Andreasson,_Mr._Paul_Edvin","male",20,0,0,"347466",7.8542,"","Southampton"
"93","93","0","1","Chaffee,_Mr._Herbert_Fuller","male",46,1,0,"W.E.P._5734",61.175,"E31","Southampton"
"94","94","0","3","Dean,_Mr._Bertram_Frank","male",26,1,2,"C.A._2315",20.575,"","Southampton"
"95","95","0","3","Coxon,_Mr._Daniel","male",59,0,0,"364500",7.25,"","Southampton"
"96","96","0","3","Shorney,_Mr._Charles_Joseph","male",31.7490473409514,0,0,"374910",8.05,"","Southampton"
"97","97","0","1","Goldschmidt,_Mr._George_B","male",71,0,0,"PC_17754",34.6542,"A5","Cherbourg"
"98","98","1","1","Greenfield,_Mr._William_Bertram","male",23,0,1,"PC_17759",63.3583,"D10_D12","Cherbourg"
"99","99","1","2","Doling,_Mrs._John_T_(Ada_Julia_Bone)","female",34,0,1,"231919",23,"","Southampton"
"100","100","0","2","Kantor,_Mr._Sinai","male",34,1,0,"244367",26,"","Southampton"
"101","101","0","3","Petranec,_Miss._Matilda","female",28,0,0,"349245",7.8958,"","Southampton"
"102","102","0","3","Petroff,_Mr._Pastcho_(""Pentcho"")","male",31.7387244349423,0,0,"349215",7.8958,"","Southampton"
"103","103","0","1","White,_Mr._Richard_Frasar","male",21,0,1,"35281",77.2875,"D26","Southampton"
"104","104","0","3","Johansson,_Mr._Gustaf_Joel","male",33,0,0,"7540",8.6542,"","Southampton"
"105","105","0","3","Gustafsson,_Mr._Anders_Vilhelm","male",37,2,0,"3101276",7.925,"","Southampton"
"106","106","0","3","Mionoff,_Mr._Stoytcho","male",28,0,0,"349207",7.8958,"","Southampton"
"107","107","1","3","Salkjelsvik,_Miss._Anna_Kristine","female",21,0,0,"343120",7.65,"","Southampton"
"108","108","1","3","Moss,_Mr._Albert_Johan","male",28.6824269270288,0,0,"312991",7.775,"","Southampton"
"109","109","0","3","Rekic,_Mr._Tido","male",38,0,0,"349249",7.8958,"","Southampton"
"110","110","1","3","Moran,_Miss._Bertha","female",26.1887277707572,1,0,"371110",24.15,"","Queenstown"
"111","111","0","1","Porter,_Mr._Walter_Chamberlain","male",47,0,0,"110465",52,"C110","Southampton"
"112","112","0","3","Zabour,_Miss._Hileni","female",14.5,1,0,"2665",14.4542,"","Cherbourg"
"113","113","0","3","Barton,_Mr._David_John","male",22,0,0,"324669",8.05,"","Southampton"
"114","114","0","3","Jussila,_Miss._Katriina","female",20,1,0,"4136",9.825,"","Southampton"
"115","115","0","3","Attalah,_Miss._Malake","female",17,0,0,"2627",14.4583,"","Cherbourg"
"116","116","0","3","Pekoniemi,_Mr._Edvard","male",21,0,0,"STON/O_2._3101294",7.925,"","Southampton"
"117","117","0","3","Connors,_Mr._Patrick","male",70.5,0,0,"370369",7.75,"","Queenstown"
"118","118","0","2","Turpin,_Mr._William_John_Robert","male",29,1,0,"11668",21,"","Southampton"
"119","119","0","1","Baxter,_Mr._Quigg_Edmond","male",24,0,1,"PC_17558",247.5208,"B58_B60","Cherbourg"
"120","120","0","3","Andersson,_Miss._Ellis_Anna_Maria","female",2,4,2,"347082",31.275,"","Southampton"
"121","121","0","2","Hickman,_Mr._Stanley_George","male",21,2,0,"S.O.C._14879",73.5,"","Southampton"
"122","122","0","3","Moore,_Mr._Leonard_Charles","male",31.7490473409514,0,0,"A4._54510",8.05,"","Southampton"
"123","123","0","2","Nasser,_Mr._Nicholas","male",32.5,1,0,"237736",30.0708,"","Cherbourg"
"124","124","1","2","Webber,_Miss._Susan","female",32.5,0,0,"27267",13,"E101","Southampton"
"125","125","0","1","White,_Mr._Percival_Wayland","male",54,0,1,"35281",77.2875,"D26","Southampton"
"126","126","1","3","Nicola-Yarred,_Master._Elias","male",12,1,0,"2651",11.2417,"","Cherbourg"
"127","127","0","3","McMahon,_Mr._Martin","male",31.7289638662255,0,0,"370372",7.75,"","Queenstown"
"128","128","1","3","Madsen,_Mr._Fridtjof_Arne","male",24,0,0,"C_17369",7.1417,"","Southampton"
"129","129","1","3","Peter,_Miss._Anna","female",24.2486723316655,1,1,"2668",22.3583,"F_E69","Cherbourg"
"130","130","0","3","Ekstrom,_Mr._Johan","male",45,0,0,"347061",6.975,"","Southampton"
"131","131","0","3","Drazenoic,_Mr._Jozef","male",33,0,0,"349241",7.8958,"","Cherbourg"
"132","132","0","3","Coelho,_Mr._Domingos_Fernandeo","male",20,0,0,"SOTON/O.Q._3101307",7.05,"","Southampton"
"133","133","0","3","Robins,_Mrs._Alexander_A_(Grace_Charity_Laury)","female",47,1,0,"A/5._3337",14.5,"","Southampton"
"134","134","1","2","Weisz,_Mrs._Leopold_(Mathilde_Francoise_Pede)","female",29,1,0,"228414",26,"","Southampton"
"135","135","0","2","Sobey,_Mr._Samuel_James_Hayden","male",25,0,0,"C.A._29178",13,"","Southampton"
"136","136","0","2","Richard,_Mr._Emile","male",23,0,0,"SC/PARIS_2133",15.0458,"","Cherbourg"
"137","137","1","1","Newsom,_Miss._Helen_Monypeny","female",19,0,2,"11752",26.2833,"D47","Southampton"
"138","138","0","1","Futrelle,_Mr._Jacques_Heath","male",37,1,0,"113803",53.1,"C123","Southampton"
"139","139","0","3","Osen,_Mr._Olaf_Elon","male",16,0,0,"7534",9.2167,"","Southampton"
"140","140","0","1","Giglio,_Mr._Victor","male",24,0,0,"PC_17593",79.2,"B86","Cherbourg"
"141","141","0","3","Boulos,_Mrs._Joseph_(Sultana)","female",28.7763454309426,0,2,"2678",15.2458,"","Cherbourg"
"142","142","1","3","Nysten,_Miss._Anna_Sofia","female",22,0,0,"347081",7.75,"","Southampton"
"143","143","1","3","Hakkarainen,_Mrs._Pekka_Pietari_(Elin_Matilda_Dolck)","female",24,1,0,"STON/O2._3101279",15.85,"","Southampton"
"144","144","0","3","Burke,_Mr._Jeremiah","male",19,0,0,"365222",6.75,"","Queenstown"
"145","145","0","2","Andrew,_Mr._Edgardo_Samuel","male",18,0,0,"231945",11.5,"","Southampton"
"146","146","0","2","Nicholls,_Mr._Joseph_Charles","male",19,1,1,"C.A._33112",36.75,"","Southampton"
"147","147","1","3","Andersson,_Mr._August_Edvard_(""Wennerstrom"")","male",27,0,0,"350043",7.7958,"","Southampton"
"148","148","0","3","Ford,_Miss._Robina_Maggie_""Ruby""","female",9,2,2,"W./C._6608",34.375,"","Southampton"
"149","149","0","2","Navratil,_Mr._Michel_(""Louis_M_Hoffman"")","male",36.5,0,2,"230080",26,"F2","Southampton"
"150","150","0","2","Byles,_Rev._Thomas_Roussel_Davids","male",42,0,0,"244310",13,"","Southampton"
"151","151","0","2","Bateman,_Rev._Robert_James","male",51,0,0,"S.O.P._1166",12.525,"","Southampton"
"152","152","1","1","Pears,_Mrs._Thomas_(Edith_Wearne)","female",22,1,0,"113776",66.6,"C2","Southampton"
"153","153","0","3","Meo,_Mr._Alfonzo","male",55.5,0,0,"A.5._11206",8.05,"","Southampton"
"154","154","0","3","van_Billiard,_Mr._Austin_Blyler","male",40.5,0,2,"A/5._851",14.5,"","Southampton"
"155","155","0","3","Olsen,_Mr._Ole_Martin","male",31.6996754655836,0,0,"Fa_265302",7.3125,"","Southampton"
"156","156","0","1","Williams,_Mr._Charles_Duane","male",51,0,1,"PC_17597",61.3792,"","Cherbourg"
"157","157","1","3","Gilnagh,_Miss._Katherine_""Katie""","female",16,0,0,"35851",7.7333,"","Queenstown"
"158","158","0","3","Corn,_Mr._Harry","male",30,0,0,"SOTON/OQ_392090",8.05,"","Southampton"
"159","159","0","3","Smiljanic,_Mr._Mile","male",31.7900511018501,0,0,"315037",8.6625,"","Southampton"
"160","160","0","3","Sage,_Master._Thomas_Henry","male",2.02019132055019,8,2,"CA._2343",69.55,"","Southampton"
"161","161","0","3","Cribb,_Mr._John_Hatfield","male",44,0,1,"371362",16.1,"","Southampton"
"162","162","1","2","Watt,_Mrs._James_(Elizabeth_""Bessie""_Inglis_Milne)","female",40,0,0,"C.A._33595",15.75,"","Southampton"
"163","163","0","3","Bengtsson,_Mr._John_Viktor","male",26,0,0,"347068",7.775,"","Southampton"
"164","164","0","3","Calic,_Mr._Jovo","male",17,0,0,"315093",8.6625,"","Southampton"
"165","165","0","3","Panula,_Master._Eino_Viljami","male",1,4,1,"3101295",39.6875,"","Southampton"
"166","166","1","3","Goldsmith,_Master._Frank_John_William_""Frankie""","male",9,0,2,"363291",20.525,"","Southampton"
"167","167","1","1","Chibnall,_Mrs._(Edith_Martha_Bowerman)","female",30.2095866722159,0,1,"113505",55,"E33","Southampton"
"168","168","0","3","Skoog,_Mrs._William_(Anna_Bernhardina_Karlsson)","female",45,1,4,"347088",27.9,"","Southampton"
"169","169","0","1","Baumann,_Mr._John_D","male",32.9456877100356,0,0,"PC_17318",25.925,"","Southampton"
"170","170","0","3","Ling,_Mr._Lee","male",28,0,0,"1601",56.4958,"","Southampton"
"171","171","0","1","Van_der_hoef,_Mr._Wyckoff","male",61,0,0,"111240",33.5,"B19","Southampton"
"172","172","0","3","Rice,_Master._Arthur","male",4,4,1,"382652",29.125,"","Queenstown"
"173","173","1","3","Johnson,_Miss._Eleanor_Ileen","female",1,1,1,"347742",11.1333,"","Southampton"
"174","174","0","3","Sivola,_Mr._Antti_Wilhelm","male",21,0,0,"STON/O_2._3101280",7.925,"","Southampton"
"175","175","0","1","Smith,_Mr._James_Clinch","male",56,0,0,"17764",30.6958,"A7","Cherbourg"
"176","176","0","3","Klasen,_Mr._Klas_Albin","male",18,1,1,"350404",7.8542,"","Southampton"
"177","177","0","3","Lefebre,_Master._Henry_Forbes","male",19.7677411695585,3,1,"4133",25.4667,"","Southampton"
"178","178","0","1","Isham,_Miss._Ann_Elizabeth","female",50,0,0,"PC_17595",28.7125,"C49","Cherbourg"
"179","179","0","2","Hale,_Mr._Reginald","male",30,0,0,"250653",13,"","Southampton"
"180","180","0","3","Leonard,_Mr._Lionel","male",36,0,0,"LINE",0,"","Southampton"
"181","181","0","3","Sage,_Miss._Constance_Gladys","female",2.20598765284053,8,2,"CA._2343",69.55,"","Southampton"
"182","182","0","2","Pernot,_Mr._Rene","male",32.2176617512221,0,0,"SC/PARIS_2131",15.05,"","Cherbourg"
"183","183","0","3","Asplund,_Master._Clarence_Gustaf_Hugo","male",9,4,2,"347077",31.3875,"","Southampton"
"184","184","1","2","Becker,_Master._Richard_F","male",1,2,1,"230136",39,"F4","Southampton"
"185","185","1","3","Kink-Heilmann,_Miss._Luise_Gretchen","female",4,0,2,"315153",22.025,"","Southampton"
"186","186","0","1","Rood,_Mr._Hugh_Roscoe","male",34.5573865567883,0,0,"113767",50,"A32","Southampton"
"187","187","1","3","O'Brien,_Mrs._Thomas_(Johanna_""Hannah""_Godfrey)","female",25.609654249494,1,0,"370365",15.5,"","Queenstown"
"188","188","1","1","Romaine,_Mr._Charles_Hallace_(""Mr_C_Rolmane"")","male",45,0,0,"111428",26.55,"","Southampton"
"189","189","0","3","Bourke,_Mr._John","male",40,1,1,"364849",15.5,"","Queenstown"
"190","190","0","3","Turcin,_Mr._Stjepan","male",36,0,0,"349247",7.8958,"","Southampton"
"191","191","1","2","Pinsky,_Mrs._(Rosa)","female",32,0,0,"234604",13,"","Southampton"
"192","192","0","2","Carbines,_Mr._William","male",19,0,0,"28424",13,"","Southampton"
"193","193","1","3","Andersen-Jensen,_Miss._Carla_Christine_Nielsine","female",19,1,0,"350046",7.8542,"","Southampton"
"194","194","1","2","Navratil,_Master._Michel_M","male",3,1,1,"230080",26,"F2","Southampton"
"195","195","1","1","Brown,_Mrs._James_Joseph_(Margaret_Tobin)","female",44,0,0,"PC_17610",27.7208,"B4","Cherbourg"
"196","196","1","1","Lurette,_Miss._Elise","female",58,0,0,"PC_17569",146.5208,"B80","Cherbourg"
"197","197","0","3","Mernagh,_Mr._Robert","male",31.7289638662255,0,0,"368703",7.75,"","Queenstown"
"198","198","0","3","Olsen,_Mr._Karl_Siegwart_Andreas","male",42,0,1,"4579",8.4042,"","Southampton"
"199","199","1","3","Madigan,_Miss._Margaret_""Maggie""","female",28.8665496364253,0,0,"370370",7.75,"","Queenstown"
"200","200","0","2","Yrois,_Miss._Henriette_(""Mrs_Harbeck"")","female",24,0,0,"248747",13,"","Southampton"
"201","201","0","3","Vande_Walle,_Mr._Nestor_Cyriel","male",28,0,0,"345770",9.5,"","Southampton"
"202","202","0","3","Sage,_Mr._Frederick","male",2.02019132055019,8,2,"CA._2343",69.55,"","Southampton"
"203","203","0","3","Johanson,_Mr._Jakob_Alfred","male",34,0,0,"3101264",6.4958,"","Southampton"
"204","204","0","3","Youseff,_Mr._Gerious","male",45.5,0,0,"2628",7.225,"","Cherbourg"
"205","205","1","3","Cohen,_Mr._Gurshon_""Gus""","male",18,0,0,"A/5_3540",8.05,"","Southampton"
"206","206","0","3","Strom,_Miss._Telma_Matilda","female",2,0,1,"347054",10.4625,"G6","Southampton"
"207","207","0","3","Backstrom,_Mr._Karl_Alfred","male",32,1,0,"3101278",15.85,"","Southampton"
"208","208","1","3","Albimona,_Mr._Nassef_Cassem","male",26,0,0,"2699",18.7875,"","Cherbourg"
"209","209","1","3","Carr,_Miss._Helen_""Ellen""","female",16,0,0,"367231",7.75,"","Queenstown"
"210","210","1","1","Blank,_Mr._Henry","male",40,0,0,"112277",31,"A31","Cherbourg"
"211","211","0","3","Ali,_Mr._Ahmed","male",24,0,0,"SOTON/O.Q._3101311",7.05,"","Southampton"
"212","212","1","2","Cameron,_Miss._Clear_Annie","female",35,0,0,"F.C.C._13528",21,"","Southampton"
"213","213","0","3","Perkin,_Mr._John_Henry","male",22,0,0,"A/5_21174",7.25,"","Southampton"
"214","214","0","2","Givard,_Mr._Hans_Kristensen","male",30,0,0,"250646",13,"","Southampton"
"215","215","0","3","Kiernan,_Mr._Philip","male",27.9532453822087,1,0,"367229",7.75,"","Queenstown"
"216","216","1","1","Newell,_Miss._Madeleine","female",31,1,0,"35273",113.275,"D36","Cherbourg"
"217","217","1","3","Honkanen,_Miss._Eliina","female",27,0,0,"STON/O2._3101283",7.925,"","Southampton"
"218","218","0","2","Jacobsohn,_Mr._Sidney_Samuel","male",42,1,0,"243847",27,"","Southampton"
"219","219","1","1","Bazzani,_Miss._Albina","female",32,0,0,"11813",76.2917,"D15","Cherbourg"
"220","220","0","2","Harris,_Mr._Walter","male",30,0,0,"W/C_14208",10.5,"","Southampton"
"221","221","1","3","Sunderland,_Mr._Victor_Francis","male",16,0,0,"SOTON/OQ_392089",8.05,"","Southampton"
"222","222","0","2","Bracken,_Mr._James_H","male",27,0,0,"220367",13,"","Southampton"
"223","223","0","3","Green,_Mr._George_Henry","male",51,0,0,"21440",8.05,"","Southampton"
"224","224","0","3","Nenkoff,_Mr._Christo","male",31.7387244349423,0,0,"349234",7.8958,"","Southampton"
"225","225","1","1","Hoyt,_Mr._Frederick_Maxfield","male",38,1,0,"19943",90,"C93","Southampton"
"226","226","0","3","Berglund,_Mr._Karl_Ivar_Sven","male",22,0,0,"PP_4348",9.35,"","Southampton"
"227","227","1","2","Mellors,_Mr._William_John","male",19,0,0,"SW/PP_751",10.5,"","Southampton"
"228","228","0","3","Lovell,_Mr._John_Hall_(""Henry"")","male",20.5,0,0,"A/5_21173",7.25,"","Southampton"
"229","229","0","2","Fahlstrom,_Mr._Arne_Jonas","male",18,0,0,"236171",13,"","Southampton"
"230","230","0","3","Lefebre,_Miss._Mathilde","female",19.9535375018489,3,1,"4133",25.4667,"","Southampton"
"231","231","1","1","Harris,_Mrs._Henry_Birkhardt_(Irene_Wallach)","female",35,1,0,"36973",83.475,"C83","Southampton"
"232","232","0","3","Larsson,_Mr._Bengt_Edvin","male",29,0,0,"347067",7.775,"","Southampton"
"233","233","0","2","Sjostedt,_Mr._Ernst_Adolf","male",59,0,0,"237442",13.5,"","Southampton"
"234","234","1","3","Asplund,_Miss._Lillian_Gertrud","female",5,4,2,"347077",31.3875,"","Southampton"
"235","235","0","2","Leyson,_Mr._Robert_William_Norman","male",24,0,0,"C.A._29566",10.5,"","Southampton"
"236","236","0","3","Harknett,_Miss._Alice_Phoebe","female",31.9013712153652,0,0,"W./C._6609",7.55,"","Southampton"
"237","237","0","2","Hold,_Mr._Stephen","male",44,1,0,"26707",26,"","Southampton"
"238","238","1","2","Collyer,_Miss._Marjorie_""Lottie""","female",8,0,2,"C.A._31921",26.25,"","Southampton"
"239","239","0","2","Pengelly,_Mr._Frederick_William","male",19,0,0,"28665",10.5,"","Southampton"
"240","240","0","2","Hunt,_Mr._George_Henry","male",33,0,0,"SCO/W_1585",12.275,"","Southampton"
"241","241","0","3","Zabour,_Miss._Thamine","female",28.58785381869,1,0,"2665",14.4542,"","Cherbourg"
"242","242","1","3","Murphy,_Miss._Katherine_""Kate""","female",25.609654249494,1,0,"367230",15.5,"","Queenstown"
"243","243","0","2","Coleridge,_Mr._Reginald_Charles","male",29,0,0,"W./C._14263",10.5,"","Southampton"
"244","244","0","3","Maenpaa,_Mr._Matti_Alexanteri","male",22,0,0,"STON/O_2._3101275",7.125,"","Southampton"
"245","245","0","3","Attalah,_Mr._Sleiman","male",30,0,0,"2694",7.225,"","Cherbourg"
"246","246","0","1","Minahan,_Dr._William_Edward","male",44,2,0,"19928",90,"C78","Queenstown"
